1	OP_CODE	YEAR	VESSEL	SURVEY	BEST_LAT_DD	BEST_DEPTH_M	AREA_SWEPT_MSQ	EXPANDED_WT_KG	NUMBER_FISH
2	2.00E+11	2003	3	3	46.30424583	527.5357	16567.14801	10.42	31
3	2.00E+11	2003	3	3	46.73216629	673.7497	22987.60995	0	0
4	2.00E+11	2003	3	3	46.71926308	276.165	17726.25694	20.29	90
5	2.00E+11	2003	3	3	46.92418671	823.6656	27051.56807	0	0
6	2.00E+11	2003	3	3	47.0143875	172.6837	19599.47209	2.29	6
7	2.00E+11	2003	3	3	47.5638485	985.7053	23999.5548	0	0
8	2.00E+11	2003	3	3	47.505867	1252.7002	27523.26762	0	0
9	2.00E+11	2003	3	3	47.54006577	556.7504	17877.94964	0	0
10	2.00E+11	2003	3	3	47.57679176	267.3988	22435.2787	2.54	20
11	2.00E+11	2003	3	3	47.6406875	137.403	20674.99653	1.16	14
12	2.00E+11	2003	3	3	47.72878333	98.7985	18679.4814	36.44	134
13	2.00E+11	2003	3	3	47.84123333	123.9861	20945.04506	14.05	69
14	2.00E+11	2003	3	3	47.83895417	174.2101	21564.47888	5.64	18
15	2.00E+11	2003	3	3	47.71406174	839.8349	26381.42134	0	0
16	2.00E+11	2003	3	3	47.65962029	595.23	23217.4068	0	0
17	2.00E+11	2003	3	3	48.09506607	896.6046	26012.39582	0	0
18	2.00E+11	2003	3	3	47.93688965	859.4999	21999.12107	0	0
19	2.00E+11	2003	3	3	47.76928329	1129.4489	29243.96844	0	0
20	2.00E+11	2003	3	3	48.3439625	237.2786	22462.26683	4.18	11
21	2.00E+11	2003	3	3	48.32942009	113.6444	17501.5151	6.92	59
22	2.00E+11	2003	3	3	48.22753143	203.4385	20074.10327	10.69	89
23	2.00E+11	2003	3	3	48.16075134	65.1401	17389.28847	53.33	180
24	2.00E+11	2003	3	3	48.09252357	344.5687	25270.66189	32.43	207
25	2.00E+11	2003	3	3	48.15635109	270.0982	21964.87523	18.26	50
26	2.00E+11	2003	3	3	47.99782753	99.1679	19128.79983	5.93	66
27	2.00E+11	2003	3	3	48.00288963	160.239	21466.81377	13.59	56
28	2.00E+11	2003	3	3	48.0440979	141.5147	23946.9833	13.56	72
29	2.00E+11	2003	3	3	48.07696342	214.7101	21077.79849	3.01	33
30	2.00E+11	2003	3	3	48.11399651	160.6221	19614.03026	2.28	19
31	2.00E+11	2003	3	3	47.29580879	230.5073	25228.69077	22.96	50
32	2.00E+11	2003	3	3	47.29265785	182.9549	22816.87877	34.83	207
33	2.00E+11	2003	3	3	47.0294075	106.4511	20640.22122	9.79	69
34	2.00E+11	2003	3	3	46.52761841	53.4226	19257.84211	196.94	1670
35	2.00E+11	2003	3	3	46.59062958	803.1622	24796.15957	0	0
36	2.00E+11	2003	3	3	46.4322375	990.546	17929.62769	0	0
37	2.00E+11	2003	3	3	46.15193176	1079.79	27098.83189	0	0
38	2.00E+11	2003	3	3	46.04764748	403.1635	17066.0434	13.01	77
39	2.00E+11	2003	3	3	46.07473373	256.9403	20724.90732	21.72	107
40	2.00E+11	2003	3	3	45.95121765	142.2581	21519.11541	14.51	53
41	2.00E+11	2003	3	3	45.79133606	173.8265	25656.41168	0.68	3
42	2.00E+11	2003	3	3	45.72284167	143.9795	20684.94485	20.92	223
43	2.00E+11	2003	3	3	45.59386444	605.5384	18699.80559	0	0
44	2.00E+11	2003	3	3	45.36979485	509.2967	19527.90034	1.21	11
45	2.00E+11	2003	3	3	45.29720306	436.3778	20910.32291	1.46	21
46	2.00E+11	2003	3	3	45.094975	164.1932	23847.08664	14.9	50
47	2.00E+11	2003	3	3	45.13757896	355.6634	20157.43468	0.19	6
48	2.00E+11	2003	3	3	45.12983322	312.5701	24727.98636	1.83	19
49	2.00E+11	2003	3	3	45.09032631	291.5931	23154.86304	7.33	58
50	2.00E+11	2003	3	3	44.954575	1065.0607	30528.02314	0	0
51	2.00E+11	2003	3	3	44.60644341	975.0699	35368.52348	0	0
52	2.00E+11	2003	3	3	44.93183333	313.1895	23799.49181	6.02	50
53	2.00E+11	2003	3	3	44.69703674	103.4122	18647.98446	2.03	29
54	2.00E+11	2003	3	3	44.51102829	72.5937	19024.55802	10.76	29
55	2.00E+11	2003	3	3	44.33302498	75.5689	19497.81498	11.97	50
56	2.00E+11	2003	3	3	43.93737793	98.7353	20640.77216	15.82	50
57	2.00E+11	2003	3	3	44.12176323	435.3311	18526.71791	53.78	50
58	2.00E+11	2003	3	3	44.45174408	410.5363	18858.65413	26.37	120
59	2.00E+11	2003	3	3	43.63019167	983.7163	20317.3661	0	0
60	2.00E+11	2003	3	3	43.44306755	623.467	23082.28385	0.22	2
61	2.00E+11	2003	3	3	43.71271706	351.2736	20577.08882	45.83	50
62	2.00E+11	2003	3	3	43.27376175	198.5863	20678.1183	25.24	69
63	2.00E+11	2003	3	3	43.25667572	929.8208	29038.09077	0	0
64	2.00E+11	2003	3	3	42.94205417	143.8737	19108.55248	6.41	13
65	2.00E+11	2003	3	3	42.88014984	378.4663	18772.30239	26.03	50
66	2.00E+11	2003	3	3	42.86923027	289.6928	17594.3579	18.37	53
67	2.00E+11	2003	3	3	42.70151667	149.8785	22221.42619	82.83	50
68	2.00E+11	2003	3	3	42.5913625	226.64	21584.58665	53.74	100
69	2.00E+11	2003	3	3	42.35910606	171.4505	20894.96847	29.66	95
70	2.00E+11	2003	3	3	41.81068993	974.5636	29917.34271	0	0
71	2.00E+11	2003	3	3	41.79920387	534.5921	23275.03841	28.06	90
72	2.00E+11	2003	3	3	41.6903286	62.6986	14754.9057	1.02	6
73	2.00E+11	2003	3	3	41.52400208	153.5479	22191.16023	14.63	41
