HAULJOIN	Jurisdctn
845222	Canada
1090175	Canada
1090141	Canada
43455	Canada
43728	Canada
845195	Canada
845196	Canada
43729	Canada
43040	Canada
39862	Canada
43757	Canada
45579	Canada
921330	Canada
43756	Canada
43730	Canada
39860	Canada
40506	Canada
44034	Canada
43459	Canada
39861	Canada
45583	Canada
43731	Canada
43755	Canada
45584	Canada
45582	Canada
43460	Canada
45580	Canada
43458	Canada
43457	Canada
45581	Canada
43736	Canada
40504	Canada
40505	Canada
44036	Canada
39858	Canada
43737	Canada
39859	Canada
921331	Canada
921335	Canada
1090107	Canada
46125	Canada
43735	Canada
41151	Canada
44037	Canada
1090109	Canada
921336	Canada
45585	Canada
845199	Canada
40503	Canada
40507	Canada
46124	Canada
845202	Canada
921337	Canada
41152	Canada
46122	Canada
845198	Canada
845204	Canada
921615	Canada
41155	Canada
921339	Canada
921614	Canada
41153	Canada
39857	Canada
43734	Canada
41150	Canada
1090112	Canada
845197	Canada
921333	Canada
46126	Canada
1090110	Canada
46123	Canada
845203	Canada
1090111	Canada
921338	Canada
1090106	Canada
40502	Canada
44038	Canada
44039	Canada
921332	Canada
40501	Canada
39856	Canada
43738	Canada
39864	Canada
43733	Canada
43732	Canada
44048	Canada
43740	Canada
845212	Canada
41158	Canada
921410	Canada
41156	Canada
845205	Canada
43480	Canada
44047	Canada
41163	Canada
43475	Canada
1090128	Canada
1090240	Canada
1090133	Canada
43478	Canada
845213	Canada
1090239	Canada
1090116	Canada
39865	Canada
921416	Canada
1090238	Canada
921413	Canada
40500	Canada
921415	Canada
43473	Canada
43474	Canada
845211	Canada
921414	Canada
43477	Canada
43476	Canada
40509	Canada
845210	Canada
845209	Canada
41160	Canada
39866	Canada
41161	Canada
845207	Canada
921392	Canada
1090237	Canada
921417	Canada
43479	Canada
41162	Canada
44046	Canada
43472	Canada
41157	Canada
845206	Canada
921412	Canada
44041	Canada
44045	Canada
40499	Canada
43748	Canada
39867	Canada
40517	Canada
40516	Canada
39868	Canada
44044	Canada
43747	Canada
41172	Canada
41176	Canada
41166	Canada
41175	Canada
43742	Canada
41170	Canada
41171	Canada
46130	Canada
845226	Canada
39869	Canada
845224	Canada
845219	Canada
929491	Canada
46136	Canada
929492	Canada
46127	Canada
845225	Canada
1090236	Canada
1090104	Canada
44042	Canada
1090101	Canada
1090142	Canada
41174	Canada
1090102	Canada
46137	Canada
929522	Canada
845227	Canada
46128	Canada
46138	Canada
929488	Canada
929524	Canada
46129	Canada
845221	Canada
845228	Canada
929498	Canada
845218	Canada
845250	Canada
46139	Canada
46132	Canada
46134	Canada
1090103	Canada
1090100	Canada
40512	Canada
929521	Canada
46131	Canada
845216	Canada
929523	Canada
929520	Canada
929487	Canada
41169	Canada
41168	Canada
845223	Canada
46135	Canada
41167	Canada
845214	Canada
845215	Canada
845220	Canada
929519	Canada
41173	Canada
43743	Canada
46133	Canada
929499	Canada
929490	Canada
929500	Canada
929489	Canada
40511	Canada
845217	Canada
43744	Canada
39870	Canada
44053	Canada
40510	Canada
40515	Canada
44064	Canada
845238	Canada
39871	Canada
44052	Canada
43746	Canada
43745	Canada
845237	Canada
921393	Canada
39872	Canada
40514	Canada
41177	Canada
41187	Canada
921423	Canada
43491	Canada
1090235	Canada
845235	Canada
845231	Canada
921396	Canada
44051	Canada
40513	Canada
845232	Canada
845233	Canada
41181	Canada
1090119	Canada
1090234	Canada
1090138	Canada
43490	Canada
1090127	Canada
1090118	Canada
845229	Canada
41186	Canada
43489	Canada
921427	Canada
1090134	Canada
43487	Canada
41180	Canada
921425	Canada
845264	Canada
43482	Canada
845230	Canada
845234	Canada
921426	Canada
921395	Canada
43485	Canada
41178	Canada
41185	Canada
1090143	Canada
921394	Canada
43481	Canada
43486	Canada
44050	Canada
41179	Canada
43488	Canada
41184	Canada
43484	Canada
39873	Canada
40518	Canada
1090117	Canada
41183	Canada
41182	Canada
921424	Canada
40519	Canada
44063	Canada
44062	Canada
40520	Canada
39874	Canada
44061	Canada
44054	Canada
1090229	Canada
44049	Canada
929515	Canada
929514	Canada
845239	Canada
929518	Canada
41188	Canada
929505	Canada
39879	Canada
929516	Canada
929502	Canada
845244	Canada
46148	Canada
929501	Canada
845241	Canada
46144	Canada
41191	Canada
1090233	Canada
1090232	Canada
929504	Canada
1090122	Canada
46146	Canada
929513	Canada
1090228	Canada
46143	Canada
1090129	Canada
845240	Canada
1090120	Canada
845242	Canada
845243	Canada
46142	Canada
845247	Canada
46147	Canada
41190	Canada
41194	Canada
41192	Canada
44060	Canada
46141	Canada
46149	Canada
46145	Canada
41193	Canada
39878	Canada
1090230	Canada
845246	Canada
845248	Canada
41195	Canada
845245	Canada
41196	Canada
41189	Canada
44055	Canada
1090231	Canada
929503	Canada
40521	Canada
44056	Canada
44059	Canada
40522	Canada
39876	Canada
845254	Canada
40527	Canada
44057	Canada
845256	Canada
40526	Canada
845257	Canada
921408	Canada
41197	Canada
921405	Canada
43492	Canada
46150	Canada
921430	Canada
845255	Canada
41202	Canada
845251	Canada
921406	Canada
43494	Canada
41198	Canada
41203	Canada
46152	Canada
845278	Canada
845252	Canada
921407	Canada
41201	Canada
41199	Canada
46153	Canada
921429	Canada
921428	Canada
43493	Canada
46151	Canada
39875	Canada
845249	Canada
41200	Canada
44058	Canada
40525	Canada
40524	Canada
39885	Canada
39884	Canada
845259	Canada
40523	Canada
46154	Canada
41213	Canada
46156	Canada
845258	Canada
39883	Canada
845260	Canada
41207	Canada
46158	Canada
845262	Canada
41204	Canada
845273	Canada
41206	Canada
41205	Canada
41208	Canada
845263	Canada
39882	Canada
845261	Canada
39881	Canada
41212	Canada
845274	Canada
41209	Canada
845277	Canada
845275	Canada
41211	Canada
41210	Canada
845276	Canada
40530	Canada
40529	Canada
40528	Canada
40531	Canada
