STRATA,NLat,SLat,MinDepth,MaxDepth
A,50,47.5,54.864,182.88
B,50,47.5,182.88,548.64
C,50,47.5,548.64,1280.16
D,47.5,43,54.864,182.88
E,47.5,43,182.88,548.64
F,47.5,43,548.64,1280.16
G,43,40.5,54.864,182.88
H,43,40.5,182.88,548.64
I,43,40.5,548.64,1280.16
J,40.5,34.5,54.864,182.88
K,40.5,34.5,182.88,548.64
L,40.5,34.5,548.64,1280.16
M,34.5,32,54.864,182.88
N,34.5,32,182.88,548.64
O,34.5,32,548.64,1280.16
